channel,RAW_AF7,RAW_AF7,RAW_AF7,RAW_AF7,RAW_AF7,RAW_AF8,RAW_AF8,RAW_AF8,RAW_AF8,RAW_AF8,subject,Payment_method
wave,delta,theta,alpha,beta,gamma,delta,theta,alpha,beta,gamma,,
0,30.390062671392087,9.822899897791727,1.7044193108294168,0.5230349195822731,0.8710649490863094,6.1082933758469,3.0115332736452425,0.6654791113922082,0.3081224880159962,0.16669546592085124,1,סמארטפון
0,70.6583547940391,23.14044745644709,2.844263315773815,1.2136797433711042,6.189871820431458,120.53614254271338,31.0578380806179,2.931381057741421,0.5048205448659391,1.5987474272925015,2,מזומן
0,228.2709487340072,34.59864258528857,7.450631314678977,2.274147851159859,1.0104646239524717,96.0080010780122,26.59739236487141,3.075942094307687,1.0200269795610262,1.025887305146549,3,אשראי
0,153.2448984289448,35.659762039218535,8.557467793141466,1.1620954180678296,17.41167883704664,62.776491620150054,13.837797329089652,2.401728197527392,0.6633063292476293,6.278654209812257,4,אשראי
0,48.14772373966075,18.239016596030805,2.3282495918723405,0.7669748088077346,5.435595562323956,106.55674790501163,34.976876814668444,4.263301252082444,0.8020833287089117,1.5151543771565035,5,סמארטפון
0,278.9017354960323,85.81667557946253,6.852193032253547,1.53793505703624,1.0503852184549292,118.95586735366821,67.9591470613309,8.968483792106571,4.724300128761133,2.522790003289311,6,מזומן
0,71.34965175017923,19.834370701897896,3.3694216360825298,2.2561410047190007,5.00404842202962,54.48202506371716,14.229982393602153,1.1130495139315042,0.3181829842092501,1.2207357453482306,7,סמארטפון
0,40.53849431176343,28.470112816937803,50.203106271716514,65.05374170853028,37.872918735538725,54.36711209443726,39.0640627352514,52.76402909272736,68.92095152756562,39.07919784478519,8,אשראי
0,42.0972498420664,26.204991075508755,24.178526842438814,49.43596525423578,93.19898422202432,39.08670896752866,26.00880653402153,18.123789681833284,38.592505508286,32.446342220026594,9,אשראי
0,166.40312011018887,20.958782418308495,3.93431587634654,3.96053086285775,47.29206277665056,53.57984736786895,19.31123749353066,3.7425064897957867,1.801859500933886,17.174866066436692,10,אשראי
0,2503.4301558803877,322.944182407499,50.23035625001694,11.827145127351143,94.38699260486895,152.93385558525534,32.51787160205355,3.4495657356798297,1.5317041965505016,0.5871378429896716,11,סמארטפון
0,36.559662563839666,13.991050409275102,5.032199755294349,5.558428733005684,4.006328691217284,154.2154750919932,8.189414964093986,0.8295513888815989,0.3876898054655132,0.11328211567143047,12,סמארטפון
0,216.53908405561532,38.834681224862244,7.361877366266073,4.194001621805202,2.5290769476296937,279.8770670786746,91.40424387414105,19.260307286277374,4.402531967832971,2.4590958120070536,13,אשראי
0,35.344642253612385,4.968563743713152,0.8810919908622435,0.9682877454265092,0.7230692084109668,12.698315876472858,2.3505775642815356,0.5771264738617918,0.3868316925474894,0.2331199756350507,14,אשראי
0,8.334760793415288,5.855043210939565,6.4456811924464255,7.761107930459926,35.686634360057326,15.440692194952746,5.048286514369052,5.721300583010028,6.914469722186143,20.62027578883103,15,אשראי
0,42.15530091164911,22.8765314895819,4.96015539319152,3.045306783321597,4.062623862213701,71.43881512812729,21.036988746873554,3.2086274854526593,1.2041973211831531,3.345769248081397,16,אשראי
0,10.792310708461262,8.021104225155696,8.068504307762606,8.683177776224865,6.17360806926559,13.984955120795487,11.106141829870811,9.67269922574525,10.778757322916114,7.155631227486564,17,סמארטפון
0,15.602843499627483,8.625376737172624,5.024124230015021,5.766869258550499,3.524277592911664,28.479905512413936,13.056352508555435,5.93978117287182,6.548686218562414,3.4659802202185204,18,אשראי
0,6.062664345837174,3.946498817896598,6.285661780100416,9.35929891614464,5.397235031396184,1.5811217135477045,1.1293403121513392,0.4301916777798239,0.2322874664922947,0.10527981422960564,19,סמארטפון
0,2.7434082418566024,1.7059636630217516,1.3167587260240814,3.146467362787246,1.7096103519788657,7.995442985928438,4.846648944138429,0.8977505257647415,0.28831947382607326,0.13960921436160367,20,אשראי
0,40.95783697908014,12.684524775123855,1.8325483481374576,3.9880161584819076,2.51617084943604,245.43314373213715,71.79206754117344,15.662546731877951,13.890113831970039,14.849427687846374,21,מזומן
0,959.8403561523487,303.51760595609346,83.17393682408081,64.86618227725998,39.63037196045372,2390.953849198072,604.5844130461405,76.53476796986891,46.952362284759786,27.955176139602465,22,אשראי
0,13.972220815742503,10.203747717834053,6.107122838195617,7.123864418239778,3.7366898293109436,25.21002592679269,9.821864088800027,5.225289474712063,5.783290141656813,3.0084937491758046,23,סמארטפון
0,46.118926167885945,16.19325199151943,11.939395087251023,35.78332819025269,18.640551679082634,125.81845211433215,45.587210001570675,14.64408439361188,23.767077511717396,12.15880831708931,24,מזומן
0,19.15015010646213,11.667674294200946,10.94123507946368,24.758654925621485,12.671793650938225,26.35066628459694,10.743476474146032,9.1802612457668,19.95612344685346,10.069914524333221,25,מזומן
0,40.641332534539956,15.982981470113558,5.2520643495663775,11.696220752953874,8.058365582214766,67.57104766950843,17.12031412333468,4.727806907893514,6.20695731581624,3.5109880734908843,26,מזומן
0,1225.6987945114374,1348.3272997366776,549.6811212552307,385.17188839054256,3146.3640519697683,643.5795300258595,998.8422545680266,527.5295592715372,341.58908729969403,3031.068864367261,27,אשראי
0,187.76707629351486,41.02520337606722,7.0554740921373025,3.0934042462319784,6.492278029512205,17741.233382997336,2978.4573000658675,826.6830791156524,237.52674031699004,1465.2435705076948,28,מזומן
0,25.35264853917171,7.871321961739026,2.0568320173102217,2.299080850360481,0.8315439222567718,17.748427490961305,7.597821754592411,3.086729078740666,2.981051506769679,0.9897197184068481,29,אשראי
